Time (s),White Line Pos,User Input,Actual Position,Margin of Error
9.455788,WLP,INPUT,0,Margin of Error
9.473805,WLP,INPUT,0,Margin of Error
9.494796,WLP,INPUT,0,Margin of Error
9.51581,WLP,INPUT,0,Margin of Error
9.534799,WLP,INPUT,0,Margin of Error
9.555316,WLP,INPUT,0,Margin of Error
9.575805,WLP,INPUT,0,Margin of Error
9.595848,WLP,INPUT,0,Margin of Error
9.61568,WLP,INPUT,0,Margin of Error
9.635416,WLP,INPUT,0,Margin of Error
9.654323,WLP,INPUT,0,Margin of Error
9.675549,WLP,INPUT,0,Margin of Error
9.694549,WLP,INPUT,0,Margin of Error
9.71534,WLP,INPUT,0,Margin of Error
9.735323,WLP,INPUT,0,Margin of Error
9.755103,WLP,INPUT,0,Margin of Error
9.774324,WLP,INPUT,0,Margin of Error
9.794662,WLP,INPUT,0,Margin of Error
9.815588,WLP,INPUT,0,Margin of Error
9.835094,WLP,INPUT,0,Margin of Error
9.854616,WLP,INPUT,0,Margin of Error
9.874661,WLP,INPUT,0,Margin of Error
9.89461,WLP,INPUT,0,Margin of Error
9.915091,WLP,INPUT,0,Margin of Error
9.935151,WLP,INPUT,0,Margin of Error
9.954795,WLP,INPUT,0,Margin of Error
9.9758,WLP,INPUT,0,Margin of Error
9.991803,WLP,INPUT,0,Margin of Error
10.01432,WLP,INPUT,0,Margin of Error
10.03483,WLP,INPUT,0,Margin of Error
10.0553,WLP,INPUT,0,Margin of Error
10.07546,WLP,INPUT,0,Margin of Error
10.09414,WLP,INPUT,0,Margin of Error
10.11481,WLP,INPUT,0,Margin of Error
10.13398,WLP,INPUT,0,Margin of Error
10.15521,WLP,INPUT,0,Margin of Error
10.17522,WLP,INPUT,0,Margin of Error
10.19523,WLP,INPUT,0,Margin of Error
10.21455,WLP,INPUT,0,Margin of Error
10.23474,WLP,INPUT,0,Margin of Error
10.25577,WLP,INPUT,0,Margin of Error
10.27456,WLP,INPUT,0,Margin of Error
10.29579,WLP,INPUT,0,Margin of Error
10.31577,WLP,INPUT,0,Margin of Error
10.33524,WLP,INPUT,0,Margin of Error
10.35553,WLP,INPUT,0,Margin of Error
10.37528,WLP,INPUT,0,Margin of Error
10.39525,WLP,INPUT,0,Margin of Error
10.41579,WLP,INPUT,0,Margin of Error
10.43579,WLP,INPUT,0,Margin of Error
10.45477,WLP,INPUT,0,Margin of Error
10.47525,WLP,INPUT,0,Margin of Error
10.49476,WLP,INPUT,0,Margin of Error
10.51479,WLP,INPUT,0,Margin of Error
10.53584,WLP,INPUT,0,Margin of Error
10.55581,WLP,INPUT,0,Margin of Error
10.57386,WLP,INPUT,0,Margin of Error
10.59529,WLP,INPUT,0,Margin of Error
10.6148,WLP,INPUT,0,Margin of Error
10.63298,WLP,INPUT,0,Margin of Error
10.6551,WLP,INPUT,0,Margin of Error
10.67551,WLP,INPUT,0,Margin of Error
10.6949,WLP,INPUT,0,Margin of Error
10.71584,WLP,INPUT,0,Margin of Error
10.734,WLP,INPUT,0,Margin of Error
10.75582,WLP,INPUT,0,Margin of Error
10.77581,WLP,INPUT,0,Margin of Error
10.79432,WLP,INPUT,0,Margin of Error
10.81533,WLP,INPUT,0,Margin of Error
10.83496,WLP,INPUT,0,Margin of Error
10.85583,WLP,INPUT,0,Margin of Error
10.8744,WLP,INPUT,0,Margin of Error
10.89449,WLP,INPUT,0,Margin of Error
10.9158,WLP,INPUT,0,Margin of Error
10.93454,WLP,INPUT,0,Margin of Error
10.95432,WLP,INPUT,0,Margin of Error
10.97433,WLP,INPUT,0,Margin of Error
10.99494,WLP,INPUT,0,Margin of Error
11.0156,WLP,INPUT,0,Margin of Error
11.03582,WLP,INPUT,0,Margin of Error
11.05495,WLP,INPUT,0,Margin of Error
11.07485,WLP,INPUT,0,Margin of Error
11.09583,WLP,INPUT,0,Margin of Error
11.11433,WLP,INPUT,0,Margin of Error
11.13544,WLP,INPUT,0,Margin of Error
11.15518,WLP,INPUT,0,Margin of Error
11.17537,WLP,INPUT,0,Margin of Error
11.19532,WLP,INPUT,0,Margin of Error
11.21426,WLP,INPUT,0,Margin of Error
11.23494,WLP,INPUT,0,Margin of Error
11.25433,WLP,INPUT,0,Margin of Error
11.27441,WLP,INPUT,0,Margin of Error
11.29433,WLP,INPUT,0,Margin of Error
11.31456,WLP,INPUT,0,Margin of Error
11.3343,WLP,INPUT,0,Margin of Error
11.35581,WLP,INPUT,0,Margin of Error
11.37452,WLP,INPUT,0,Margin of Error
11.39546,WLP,INPUT,0,Margin of Error
11.41445,WLP,INPUT,0,Margin of Error
11.4353,WLP,INPUT,0,Margin of Error
11.45431,WLP,INPUT,0,Margin of Error
11.4758,WLP,INPUT,0,Margin of Error
11.49579,WLP,INPUT,0,Margin of Error
11.51529,WLP,INPUT,0,Margin of Error
11.53479,WLP,INPUT,0,Margin of Error
11.55478,WLP,INPUT,0,Margin of Error
11.57081,WLP,INPUT,0,Margin of Error
11.59448,WLP,INPUT,0,Margin of Error
11.61483,WLP,INPUT,0,Margin of Error
11.63508,WLP,INPUT,0,Margin of Error
11.65498,WLP,INPUT,0,Margin of Error
11.67429,WLP,INPUT,0,Margin of Error
11.69532,WLP,INPUT,0,Margin of Error
11.71406,WLP,INPUT,0,Margin of Error
11.73417,WLP,INPUT,0,Margin of Error
11.75446,WLP,INPUT,0,Margin of Error
11.77434,WLP,INPUT,0,Margin of Error
11.794,WLP,INPUT,0,Margin of Error
11.81384,WLP,INPUT,0,Margin of Error
11.83563,WLP,INPUT,0,Margin of Error
11.8379,WLP,INPUT,0,Margin of Error
11.87545,WLP,INPUT,0,Margin of Error
11.89501,WLP,INPUT,0,Margin of Error
11.91487,WLP,INPUT,0,Margin of Error
11.93308,WLP,INPUT,0,Margin of Error
11.93945,WLP,INPUT,0,Margin of Error
11.97539,WLP,INPUT,0,Margin of Error
