Time (s),White Line Pos,User Input,Actual Position,Margin of Error,Coins Collected
6.902902,0.03,.4,0.01,166.6667,N/A
6.923351,0.03,,0.01,166.6667,N/A
6.942497,0.03,,0.01,166.6667,N/A
6.963389,0.03,,0.01,166.6667,N/A
6.982813,0.03,,0.01,166.6667,N/A
7.003366,0.03,,0.01,166.6667,N/A
7.022884,0.03,4,0.01,166.6667,N/A
7.043004,0.03,4,0.01,166.6667,N/A
7.06209,0.03,4,0.01,166.6667,N/A
7.0831,0.03,4,0.01,166.6667,N/A
7.102827,0.03,.4,0.01,166.6667,N/A
7.123301,0.03,.4,0.01,166.6667,N/A
7.143419,0.03,.4,0.01,166.6667,N/A
7.162821,0.03,.4,0.01,166.6667,N/A
7.182809,0.03,.4,0.01,166.6667,N/A
7.201814,0.03,.4,0.01,166.6667,N/A
7.222308,0.03,.4,0.01,166.6667,N/A
7.242343,0.03,.4,0.01,166.6667,N/A
7.263329,0.03,.4,0.01,166.6667,N/A
7.28336,0.03,.4,0.01,166.6667,N/A
7.302871,0.03,.4,0.01,166.6667,N/A
7.323383,0.03,.4,0.01,166.6667,N/A
7.342341,0.03,.4,0.01,166.6667,N/A
7.362835,0.03,.4,0.01,166.6667,N/A
7.383346,0.03,,0.01,166.6667,N/A
7.402866,0.03,,0.01,166.6667,N/A
7.421872,0.03,,0.01,166.6667,N/A
7.442907,0.03,,0.01,166.6667,N/A
7.463455,0.03,4,0.01,166.6667,N/A
7.482826,0.03,4,0.01,166.6667,N/A
7.503144,0.03,4,0.01,166.6667,N/A
7.523386,0.03,4,0.01,166.6667,N/A
7.542333,0.03,4,0.01,166.6667,N/A
7.562435,0.03,.4,0.01,166.6667,N/A
7.582346,0.03,.4,0.01,166.6667,N/A
7.603312,0.03,.4,0.01,166.6667,N/A
7.621822,0.03,.4,0.01,166.6667,N/A
7.643077,0.03,.4,0.01,166.6667,N/A
7.662336,0.03,.4,0.01,166.6667,N/A
7.682818,0.03,.4,0.01,166.6667,N/A
7.702824,0.03,.4,0.01,166.6667,N/A
7.722318,0.03,.4,0.01,166.6667,N/A
7.743298,0.03,.4,0.01,166.6667,N/A
7.762805,0.03,.4,0.01,166.6667,N/A
7.783084,0.03,.4,0.01,166.6667,N/A
7.803338,0.03,.4,0.01,166.6667,N/A
7.822343,0.03,.4,0.01,166.6667,N/A
7.842825,0.03,,0.01,166.6667,N/A
7.863333,0.03,,0.01,166.6667,N/A
7.882327,0.03,,0.01,166.6667,N/A
7.903476,0.03,,0.01,166.6667,N/A
7.922512,0.03,4,0.01,166.6667,N/A
7.943315,0.03,4,0.01,166.6667,N/A
7.963429,0.03,4,0.01,166.6667,N/A
7.982885,0.03,4,0.01,166.6667,N/A
8.002821,0.1123,4,0.01,191.0953,N/A
8.022472,0.1123,.4,0.01,191.0953,N/A
8.043584,0.1123,.4,0.01,191.0953,N/A
8.062374,0.1123,.4,0.01,191.0953,N/A
8.083335,0.1123,.4,0.01,191.0953,N/A
8.102374,0.1123,.4,0.01,191.0953,N/A
8.123367,0.1123,.4,0.01,191.0953,N/A
8.142339,0.1123,.4,0.01,191.0953,N/A
8.162311,0.1123,.4,0.01,191.0953,N/A
8.183451,0.1123,.4,0.01,191.0953,N/A
8.203321,0.1123,.4,0.01,191.0953,N/A
8.223638,0.1123,.4,0.01,191.0953,N/A
8.24283,0.1123,.4,0.01,191.0953,N/A
8.262892,0.1123,.4,0.01,191.0953,N/A
8.282344,0.1123,,0.01,191.0953,N/A
8.303425,0.1123,,0.01,191.0953,N/A
8.323648,0.1123,,0.01,191.0953,N/A
8.342895,0.1123,,0.01,191.0953,N/A
8.362868,0.1123,,0.01,191.0953,N/A
8.381888,0.1123,4,0.01,191.0953,N/A
8.402333,0.1123,4,0.01,191.0953,N/A
8.422955,0.1123,4,0.01,191.0953,N/A
8.443405,0.1123,4,0.01,191.0953,N/A
8.462842,0.1123,4,0.01,191.0953,N/A
8.48232,0.1123,4,0.01,191.0953,N/A
8.502488,0.1123,4,0.01,191.0953,N/A
8.523077,0.1123,4,0.01,191.0953,N/A
8.542536,0.1123,4,0.01,191.0953,N/A
8.561639,0.1123,.4,0.01,191.0953,N/A
8.582939,0.1123,.4,0.01,191.0953,N/A
8.603349,0.1123,.4,0.01,191.0953,N/A
8.622343,0.1123,.4,0.01,191.0953,N/A
8.643403,0.1123,.4,0.01,191.0953,N/A
8.663407,0.1123,.4,0.01,191.0953,N/A
8.682847,0.1123,.4,0.01,191.0953,N/A
8.703363,0.1123,.4,0.01,191.0953,N/A
8.723432,0.1123,.4,0.01,191.0953,N/A
8.742877,0.1123,,0.01,191.0953,N/A
8.76339,0.1123,,0.01,191.0953,N/A
8.782539,0.1123,,0.01,191.0953,N/A
8.802892,0.1123,,0.01,191.0953,N/A
8.82354,0.1077533,4,0.01454667,186.5,N/A
8.842333,0.1077533,4,0.01454667,186.5,N/A
8.863399,0.1077533,4,0.01454667,186.5,N/A
8.88297,0.1077533,4,0.01454667,186.5,N/A
8.903392,0.1077533,4,0.01454667,186.5,N/A
8.922474,0.1077533,4,0.01454667,186.5,N/A
8.942524,0.1077533,4,0.01454667,186.5,N/A
8.962872,0.1077533,4,0.01454667,186.5,N/A
8.983304,0.1077533,4,0.01454667,186.5,N/A
9.003324,0.1077533,.4,0.01454667,186.5,N/A
9.022326,0.1077533,.4,0.01454667,186.5,N/A
9.043365,0.1077533,.4,0.01454667,186.5,N/A
9.063331,0.1077533,.4,0.01454667,186.5,N/A
9.082891,0.1077533,.4,0.01454667,186.5,N/A
9.102859,0.1077533,.4,0.01454667,186.5,N/A
9.123376,0.1077533,.4,0.01454667,186.5,N/A
9.142352,0.1077533,.4,0.01454667,186.5,N/A
9.161963,0.1077533,.4,0.01454667,186.5,N/A
9.18241,0.1077533,.4,0.01454667,186.5,N/A
9.203368,0.1077533,,0.01454667,186.5,N/A
9.222863,0.1077533,,0.01454667,186.5,N/A
9.242957,0.1077533,,0.01454667,186.5,N/A
9.262323,0.1077533,,0.01454667,186.5,N/A
9.282888,0.09956933,4,0.02273067,177.171,N/A
9.303531,0.09956933,4,0.02273067,177.171,N/A
9.323403,0.09956933,4,0.02273067,177.171,N/A
9.342344,0.066953,4,0.02273067,166.0498,N/A
9.363083,0.0825,4,0.02273067,172.4477,N/A
9.382846,0.0825,4,0.02273067,172.4477,N/A
9.40292,0.0825,4,0.02273067,172.4477,N/A
9.422332,0.0825,4,0.02273067,172.4477,N/A
9.442512,0.0825,4,0.02273067,172.4477,N/A
9.462854,0.0825,.4,0.02273067,172.4477,N/A
9.481861,0.0825,.4,0.02273067,172.4477,N/A
9.502371,0.0825,.4,0.02273067,172.4477,N/A
9.52339,0.0825,.4,0.02273067,172.4477,N/A
9.543479,0.0825,.4,0.02273067,172.4477,N/A
9.562947,0.0825,.4,0.02273067,172.4477,N/A
9.582953,0.0825,.4,0.02273067,172.4477,N/A
9.603387,0.0825,.4,0.02273067,172.4477,N/A
